Uniprot	Gene_name	Species
A0A078BQP2	gcy-25	Caenorhabditis elegans
A0A0B4J2F2	SIK1B	Homo sapiens
A0A0G2K344	Pik3ca	Rattus norvegicus
A0A0K3AV08	mlk-1	Caenorhabditis elegans
A0A0R4ITC5	trrap	Danio rerio
A0A0U1RPR8	Gucy2d	Mus musculus
A0A8I3S724	AURKA	Canis lupus familiaris
A0A8I5ZNK2	Oxsr1	Rattus norvegicus
A0AUV4	Gm7168	Mus musculus
A0JM20	tyro3	Xenopus tropicalis
A0JNB0	FYN	Bos taurus
A0JPE1	dipk1b	Xenopus tropicalis
A1A4I4	PKN1	Bos taurus
A1A5H8	yes1	Danio rerio
A1A5Q6	Smok	Rattus norvegicus
A1L1C7	pan3	Xenopus tropicalis
A1Y2K1	FYN	Sus scrofa
A1Z7T0	Pkn	Drosophila melanogaster
A1Z9X0	aPKC	Drosophila melanogaster
A2A3N6	PIPSL	Homo sapiens
A2AAJ9	Obscn	Mus musculus
A2AQW0	Map3k15	Mus musculus
A2ASS6	Ttn	Mus musculus
A2BD05	NEK6	Sus scrofa
A2CG49	Kalrn	Mus musculus
A2KF29	Smoktcr	Mus musculus
A2RU49	HYKK	Homo sapiens
A2VDU3	MAP3K7	Bos taurus
A2VDV2	STK38	Bos taurus
A2VDZ4	PLK4	Bos taurus
A3QJU3	coq8b	Danio rerio
A4IFM7	MYLK2	Bos taurus
A4IGM9	aurkb	Xenopus tropicalis
A4IID4	pi4kb	Xenopus tropicalis
A4IIW7	cdk14	Xenopus tropicalis
A4L9P5	Hipk1	Rattus norvegicus
A4PES0	WEE2	Sus scrofa
A4QNA8	wee2	Xenopus tropicalis
A4QPH2	PI4KAP2	Homo sapiens
A4VCL2	CG31145	Drosophila melanogaster
A5GFW1	AURKA	Sus scrofa
A5PJU6	HYKK	Bos taurus
A5PKJ4	MAPK7	Bos taurus
A6QLH6	SCYL1	Bos taurus
A7E3S4	RAF1	Bos taurus
A7E3X2	CSNK1G1	Bos taurus
A7MB74	SGK1	Bos taurus
A7MBB4	MAP3K13	Bos taurus
A7MBL8	pkn2	Danio rerio
A7MCT6	Etnk2	Mus musculus
A8C984	mylk3	Danio rerio
A8DYP0	Unc-89	Drosophila melanogaster
A8KBH6	prkcb	Xenopus tropicalis
A8WFT6	hykk	Danio rerio
A8WIP6	cdk20	Danio rerio
B0G126	pip5k3	Dictyostelium discoideum
B0LT89	Stk24	Rattus norvegicus
B1H2T2	dipk2a	Xenopus tropicalis
B1H3E1	nlk.2	Xenopus tropicalis
B1Q257	odr-1	Caenorhabditis elegans
B1WAR9	mastl	Xenopus tropicalis
B1WAS2	hunk	Xenopus tropicalis
B1WBU5	Sbk2	Rattus norvegicus
B2DD29	Brsk1	Rattus norvegicus
B2GUY1	Plk4	Rattus norvegicus
B3DL84	plk4	Xenopus tropicalis
B3DMA2	Acad11	Rattus norvegicus
B3WFY8	dyf-5	Caenorhabditis elegans
B5DE93	cdk12	Xenopus tropicalis
B5DFG1	Pink1	Rattus norvegicus
B8Y466	SRPK3	Sus scrofa
C0HKC8	Smok3a	Mus musculus
C0HKC9	Smok3b	Mus musculus
C5J7W8	smg1	Danio rerio
D0Z5N4	gcn-2	Caenorhabditis elegans
D3ZBE5	Nek7	Rattus norvegicus
D3ZG83	Map3k10	Rattus norvegicus
D3ZGQ5	Nek8	Rattus norvegicus
D3ZHP7	Ulk3	Rattus norvegicus
D3ZMK9	Prag1	Rattus norvegicus
D3ZML2	Brsk2	Rattus norvegicus
D3ZRW8	Etnk2	Rattus norvegicus
D3ZSI8	Pip5k1a	Rattus norvegicus
D3ZSZ3	Nlk	Rattus norvegicus
D4A280	Pak5	Rattus norvegicus
D4A7V9	Eif2ak4	Rattus norvegicus
D4AE59	Stk11	Rattus norvegicus
E1BB50	CDK12	Bos taurus
E1BB52	CDK13	Bos taurus
E1BFR5	MASTL	Bos taurus
E1BK52	STK10	Bos taurus
E1BMN8	NLK	Bos taurus
E1BTE1	WEE2	Gallus gallus
E1C2I2	MASTL	Gallus gallus
E2QWQ2	NLK	Canis lupus familiaris
E2RJI4	MASTL	Canis lupus familiaris
E2RSS3	WEE2	Canis lupus familiaris
E7EAU8	gcy-9	Caenorhabditis elegans
E9PSL7	Cit	Rattus norvegicus
E9PT87	Mylk3	Rattus norvegicus
E9PTG8	Stk10	Rattus norvegicus
E9Q3L2	Pi4ka	Mus musculus
E9Q3S4	Map3k19	Mus musculus
F1LM93	Yes1	Rattus norvegicus
F1LP90	Mink1	Rattus norvegicus
F1M0Z1	Trio	Rattus norvegicus
F1M5M3	Tex14	Rattus norvegicus
F1M7Y5	Prkci	Rattus norvegicus
F1MH24	AAK1	Bos taurus
F1MJR8	TEX14	Bos taurus
F1N9Y5	SYK	Gallus gallus
F1NBT0	STK10	Gallus gallus
F1QGZ6	melk	Danio rerio
F1QU13	alpk2	Danio rerio
F1QVU0	ltk	Danio rerio
F1RDG9	fynb	Danio rerio
F1SPM8	AAK1	Sus scrofa
F8W3R9	alk	Danio rerio
G3V9H8	Ret	Rattus norvegicus
G4SLH0	ttn-1	Caenorhabditis elegans
G5EBL2	mes-1	Caenorhabditis elegans
G5EBT1	sma-5	Caenorhabditis elegans
G5EBZ8	ark-1	Caenorhabditis elegans
G5ECH7	cdk-5	Caenorhabditis elegans
G5ECJ6	csk-1	Caenorhabditis elegans
G5ECN5	strd-1	Caenorhabditis elegans
G5ECP4	pik-1	Caenorhabditis elegans
G5ECQ3	sel-5	Caenorhabditis elegans
G5ED65	ver-1	Caenorhabditis elegans
G5EDA5	ksr-2	Caenorhabditis elegans
G5EDB2	madd-3	Caenorhabditis elegans
G5EDF7	sek-1	Caenorhabditis elegans
G5EDT6	jkk-1	Caenorhabditis elegans
G5EDY0	piki-1	Caenorhabditis elegans
G5EE56	src-1	Caenorhabditis elegans
G5EED4	nipi-3	Caenorhabditis elegans
G5EEE9	gcy-23	Caenorhabditis elegans
G5EEN4	gck-3	Caenorhabditis elegans
G5EFD2	ksr-1	Caenorhabditis elegans
G5EFM9	nekl-3	Caenorhabditis elegans
G5EFQ0	gcy-18	Caenorhabditis elegans
G5EFU0	pak-2	Caenorhabditis elegans
G5EFV5	cdk-7	Caenorhabditis elegans
G5EGK5	cam-1	Caenorhabditis elegans
G5EGQ3	max-2	Caenorhabditis elegans
G5EGT9	lin-18	Caenorhabditis elegans
H2KZU7	svh-2	Caenorhabditis elegans
H2KZW3	zak-1	Caenorhabditis elegans
H2L002	gcy-7	Caenorhabditis elegans
H2L099	gck-1	Caenorhabditis elegans
M3TYT0	ROCK2	Sus scrofa
M9PGC5	Wnk	Drosophila melanogaster
N1NVB7	gcy-6	Caenorhabditis elegans
O00141	SGK1	Homo sapiens
O00238	BMPR1B	Homo sapiens
O00311	CDC7	Homo sapiens
O00329	PIK3CD	Homo sapiens
O00418	EEF2K	Homo sapiens
O00443	PIK3C2A	Homo sapiens
