Species	Symbol	Ensembl	Family	Protein	Entrez ID
Homo_sapiens	ZBTB8B	ENSG00000273274	ZBTB	ENSP00000476499;ENSP00000476499;	728116
Homo_sapiens	GSX2	ENSG00000180613	Homeobox	ENSP00000319118;ENSP00000483522;	170825
Homo_sapiens	TBX2	ENSG00000121068	T-box	ENSP00000404781;ENSP00000240328;	6909
Homo_sapiens	PAX8	ENSG00000125618	PAX	ENSP00000395498;ENSP00000263335;ENSP00000380768;ENSP00000263334;ENSP00000314750;	7849
Homo_sapiens	CREB3L1	ENSG00000157613	TF_bZIP	ENSP00000481956;ENSP00000436574;	90993
Homo_sapiens	NKX6-1	ENSG00000163623	Homeobox	ENSP00000295886;ENSP00000449761;	4825
Homo_sapiens	ZNF621	ENSG00000172888	zf-C2H2	ENSP00000386051;ENSP00000340841;ENSP00000413236;	285268
Homo_sapiens	ZNF138	ENSG00000197008	zf-C2H2	ENSP00000303533;ENSP00000399528;ENSP00000407262;	7697
Homo_sapiens	ZNF654	ENSG00000175105	zf-C2H2	ENSP00000312141;ENSP00000490842;	55279
Homo_sapiens	POU3F3	ENSG00000198914	Pou	ENSP00000355001;	5455
Homo_sapiens	ALX1	ENSG00000180318	Homeobox	ENSP00000315417;	8092
Homo_sapiens	EMX1	ENSG00000135638	Homeobox	ENSP00000258106;ENSP00000446992;	2016
Homo_sapiens	ZNF718	ENSG00000250312	zf-C2H2	ENSP00000476435;ENSP00000480556;	255403
Homo_sapiens	VSX2	ENSG00000119614	Homeobox	ENSP00000261980;	338917
Homo_sapiens	POU1F1	ENSG00000064835	Pou	ENSP00000454072;ENSP00000342931;ENSP00000263781;	5449
Homo_sapiens	RARA	ENSG00000131759	THR-like	ENSP00000377649;ENSP00000377648;ENSP00000377643;ENSP00000462514;ENSP00000254066;ENSP00000389993;	5914
Homo_sapiens	TLX3	ENSG00000164438	Homeobox	ENSP00000296921;	30012
Homo_sapiens	ZIC2	ENSG00000043355	zf-C2H2	ENSP00000365514;	7546
Homo_sapiens	ZNF226	ENSG00000167380	zf-C2H2	ENSP00000465121;ENSP00000393265;ENSP00000336719;	7769
Homo_sapiens	ZNF808	ENSG00000198482	zf-C2H2	ENSP00000420522;ENSP00000352846;	388558
Homo_sapiens	AC067968.1	ENSG00000267022	zf-C2H2	ENSP00000467018;	-
Homo_sapiens	NR3C1	ENSG00000113580	ESR-like	ENSP00000427672;ENSP00000343205;ENSP00000405282;ENSP00000422518;ENSP00000231509;ENSP00000377977;ENSP00000387672;ENSP00000377979;	2908
Homo_sapiens	HIC2	ENSG00000169635	ZBTB	ENSP00000385319;ENSP00000385319;ENSP00000384889;ENSP00000387757;	23119
Homo_sapiens	ZNF442	ENSG00000198342	zf-C2H2	ENSP00000440162;ENSP00000242804;ENSP00000388634;ENSP00000404935;	79973
Homo_sapiens	FOSL1	ENSG00000175592	TF_bZIP	ENSP00000310170;	8061
Homo_sapiens	MTF1	ENSG00000188786	zf-C2H2	ENSP00000362127;	4520
Homo_sapiens	YBX3	ENSG00000060138	CSD	ENSP00000279550;ENSP00000228251;ENSP00000485718;	8531
Homo_sapiens	ZNF705A	ENSG00000196946	zf-C2H2	ENSP00000379816;ENSP00000481663;ENSP00000352233;	440077
Homo_sapiens	NFE2	ENSG00000123405	TF_bZIP	ENSP00000397185;ENSP00000447558;ENSP00000312436;ENSP00000446929;ENSP00000439120;	4778
Homo_sapiens	RAX2	ENSG00000173976	Homeobox	ENSP00000450687;ENSP00000450456;	84839
Homo_sapiens	SP1	ENSG00000185591	zf-C2H2	ENSP00000329357;ENSP00000404263;	6667
Homo_sapiens	ARID3A	ENSG00000116017	ARID	ENSP00000263620;ENSP00000464969;	1820
Homo_sapiens	FEZF1	ENSG00000128610	zf-C2H2	ENSP00000392727;ENSP00000411145;	389549
Homo_sapiens	THAP4	ENSG00000176946	THAP	ENSP00000385006;	51078
Homo_sapiens	ZNF286A	ENSG00000187607	zf-C2H2	ENSP00000466154;ENSP00000397163;ENSP00000464063;ENSP00000464218;	57335
Homo_sapiens	FOXQ1	ENSG00000164379	Fork_head	ENSP00000296839;	94234
Homo_sapiens	AIRE	ENSG00000160224	SAND	ENSP00000291582;	326
Homo_sapiens	SNAI3	ENSG00000185669	zf-C2H2	ENSP00000327968;	333929
